time_stamp,event,user_name,ip_address,access,server,nb_queued_requests_on_server,error
2025-08-06 20:30:41.452036,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:44.429935,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:44.430221,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:44.433784,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:44.434973,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:47.456947,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:47.457009,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:47.463639,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:47.463692,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:50.405148,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:50.405184,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:50.407087,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:50.407160,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:50.618699,gen_request,testuser,127.0.0.1,Authorized,robusto,0,
2025-08-06 20:30:50.619077,gen_error,testuser,127.0.0.1,Authorized,robusto,1,list index out of range
2025-08-06 20:30:50.619193,gen_done,testuser,127.0.0.1,Authorized,robusto,0,
2025-08-06 20:30:53.436448,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:53.436553,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:53.440511,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:53.441199,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:56.463819,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:56.463880,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:56.466451,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:56.466763,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:59.415277,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:59.415537,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:59.417129,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:30:59.417385,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:02.441683,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:02.442785,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:02.445327,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:02.447370,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:05.441597,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:05.442642,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:05.443868,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:05.444963,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:08.422703,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:08.425637,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:08.472596,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:08.475151,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:11.438120,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:11.438184,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:11.441620,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:11.442866,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:14.452712,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:14.452777,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:14.459370,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:14.459545,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:17.488433,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:17.488527,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:17.493152,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:17.495306,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:20.466398,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:20.468151,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:20.499099,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:20.502292,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:23.469339,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:23.469431,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:23.476115,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:23.476177,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:26.453313,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:26.456787,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:26.502908,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:26.509142,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:29.491305,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:29.492024,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:29.496769,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:29.498565,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:32.504313,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:32.505211,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:32.507664,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:32.508708,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:35.512471,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:35.512594,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:35.516950,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:35.517100,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:38.469600,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:38.470084,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:38.472050,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:38.472873,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:41.541808,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:41.541853,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:41.544209,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:41.544999,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:44.555989,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:44.556064,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:44.559182,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:44.560040,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:47.501882,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:47.502642,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:47.503914,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:47.504601,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:50.504538,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:50.504583,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:50.506756,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:50.506881,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:52.532241,gen_request,testuser,127.0.0.1,Authorized,robusto,0,
2025-08-06 20:31:52.532684,gen_error,testuser,127.0.0.1,Authorized,robusto,1,list index out of range
2025-08-06 20:31:52.532791,gen_done,testuser,127.0.0.1,Authorized,robusto,0,
2025-08-06 20:31:53.501745,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:53.504123,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:53.546447,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:53.549814,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:56.523269,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:56.524446,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:56.530002,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:56.530297,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:59.544513,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
2025-08-06 20:31:59.544763,rejected,No token,127.0.0.1,Denied,None,-1,Authentication failed
